Composition,Al_pct,Co_pct,Cr_pct,Hf_pct,Mo_pct,Nb_pct,Si_pct,Ta_pct,Ti_pct,V_pct,W_pct,Zr_pct,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Density,Young_Modulus_ROM,Young_Modulus_Exp,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
Mo0.1NbTiV0.3Zr,0.0,0.0,0.0,0.0,2.9411764705882355,29.411764705882355,0.0,0.0,29.411764705882355,8.823529411764707,0.0,29.411764705882355,AC,S,BCC,C,6.6,106.0,,25.0,932.0,141.2,1,1,6,0
Mo0.3NbTiV0.3Zr,0.0,0.0,0.0,0.0,8.333333333333334,27.777777777777782,0.0,0.0,27.777777777777782,8.333333333333334,0.0,27.777777777777782,AC,S,BCC,C,6.8,118.4,,25.0,1312.0,193.9,1,1,6,0
Mo0.3NbTiVZr,0.0,0.0,0.0,0.0,6.976744186046512,23.255813953488374,0.0,0.0,23.255813953488374,23.255813953488374,0.0,23.255813953488374,AC,S,BCC,C,6.7,119.9,,25.0,1289.0,192.8,1,1,6,0
Mo0.5NbTiV0.3Zr,0.0,0.0,0.0,0.0,13.157894736842106,26.315789473684212,0.0,0.0,26.315789473684212,7.894736842105264,0.0,26.315789473684212,AC,S,BCC,C,6.9,129.4,,25.0,1301.0,188.0,1,1,6,0
Mo0.5NbTiVZr,0.0,0.0,0.0,0.0,11.11111111111111,22.22222222222222,0.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,AC,S,BCC,C,6.8,129.2,,25.0,1473.0,215.9,1,1,6,0
Mo0.7NbTiV0.3Zr,0.0,0.0,0.0,0.0,17.5,25.0,0.0,0.0,25.0,7.5,0.0,25.0,AC,S,BCC,C,7.1,139.4,,25.0,1436.0,203.4,1,1,6,0
Mo0.7NbTiVZr,0.0,0.0,0.0,0.0,14.893617021276595,21.27659574468085,0.0,0.0,21.27659574468085,21.27659574468085,0.0,21.27659574468085,AC,S,BCC,C,7.0,137.7,,25.0,1706.0,245.5,1,1,6,0
Mo1.3NbTiV0.3Zr,0.0,0.0,0.0,0.0,28.260869565217394,21.73913043478261,0.0,0.0,21.73913043478261,6.521739130434783,0.0,21.73913043478261,AC,S,BCC,C,7.4,164.2,,25.0,1603.0,216.2,1,1,6,0
Mo1.3NbTiVZr,0.0,0.0,0.0,0.0,24.528301886792455,18.867924528301888,0.0,0.0,18.867924528301888,18.867924528301888,0.0,18.867924528301888,AC,S,BCC,C,7.3,159.4,,25.0,1496.0,205.5,1,1,6,0
Mo1.5NbTiV0.3Zr,0.0,0.0,0.0,0.0,31.25,20.833333333333336,0.0,0.0,20.833333333333336,6.25,0.0,20.833333333333336,AC,S,BCC,C,7.5,171.0,,25.0,1576.0,209.7,1,1,6,0
Mo1.5NbTiVZr,0.0,0.0,0.0,0.0,27.272727272727273,18.181818181818183,0.0,0.0,18.181818181818183,18.181818181818183,0.0,18.181818181818183,AC,M,2 BCC,C,7.4,,,25.0,1603.0,217.3,1,0,0,0
Mo1.7NbTiVZr,0.0,0.0,0.0,0.0,29.82456140350877,17.543859649122805,0.0,0.0,17.543859649122805,17.543859649122805,0.0,17.543859649122805,AC,M,2 BCC,C,7.5,,,25.0,1645.0,220.4,1,0,0,0
Mo2NbTiVZr,0.0,0.0,0.0,0.0,33.333333333333336,16.666666666666668,0.0,0.0,16.666666666666668,16.666666666666668,0.0,16.666666666666668,AC,M,2 BCC,C,7.6,,,25.0,1765.0,232.6,1,0,0,0
MoNbTaTi0.25W,0.0,0.0,0.0,0.0,23.529411764705884,23.529411764705884,0.0,23.529411764705884,5.882352941176471,0.0,23.529411764705884,0.0,AC,S,BCC,C,13.1,249.4,,25.0,1109.0,84.7,1,1,6,0
